,Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
210,VSAT,"Viasat, Inc.",16.08,0.17,1.07%,1.05M,1.201M,2.015B,N/A,
211,WNS,WNS (Holdings) Limited,42.94,1.03,2.46%,277560.00,438347.00,2.01B,15.17,
212,SITM,SiTime Corporation,87.28,-1.84,-2.06%,292350.00,227139.00,1.996B,N/A,
213,VECO,Veeco Instruments Inc.,34.59,-0.75,-2.12%,438528.00,475942.00,1.948B,N/A,
214,VRNT,Verint Systems Inc.,30.52,0.24,0.79%,444202.00,542898.00,1.904B,109,
215,ARRY,"Array Technologies, Inc.",12.46,0.12,0.97%,5.562M,5.705M,1.891B,22.25,
216,RUM,Rumble Inc.,6.70,-0.36,-5.10%,1.563M,3.483M,1.878B,N/A,
217,PD,"PagerDuty, Inc.",20.19,0.23,1.15%,924682.00,1.144M,1.873B,N/A,
218,ODD,Oddity Tech Ltd.,32.90,0.36,1.11%,640533.00,948026.00,1.871B,32.9,
219,AMBA,"Ambarella, Inc.",45.56,-0.41,-0.89%,448907.00,590396.00,1.866B,N/A,
220,SWI,SolarWinds Corporation,11.07,0.05,0.45%,412590.00,464714.00,1.862B,N/A,
221,IONQ,"IonQ, Inc.",8.75,0.2,2.34%,3.672M,6.829M,1.848B,N/A,
222,CALX,"Calix, Inc.",27.88,0.15,0.54%,613761.00,993368.00,1.827B,99.57,
223,UCTT,"Ultra Clean Holdings, Inc.",40.28,-1.55,-3.71%,253417.00,317016.00,1.799B,N/A,
224,SEMR,"Semrush Holdings, Inc.",12.40,0.16,1.31%,289765.00,577921.00,1.799B,"1,240.00",
225,GRND,Grindr Inc.,10.17,0.38,3.88%,336243.00,415342.00,1.786B,N/A,
226,FSLY,"Fastly, Inc.",12.93,0.28,2.21%,4.773M,4.338M,1.767B,N/A,
227,BMBL,Bumble Inc.,10.12,0.02,0.20%,1.974M,3.061M,1.765B,N/A,
228,VIAV,Viavi Solutions Inc.,7.92,0.02,0.25%,1.229M,2.011M,1.763B,396,
229,VYX,NCR Voyix Corporation,12.13,-0.12,-0.98%,2.482M,2.739M,1.754B,N/A,
230,UPBD,"Upbound Group, Inc.",31.62,0.61,1.97%,787427.00,391816.00,1.726B,N/A,
231,EVCM,EverCommerce Inc.,9.23,0.23,2.56%,199017.00,145667.00,1.719B,N/A,
232,SPNS,Sapiens International Corporation N.V.,30.66,-0.14,-0.45%,157139.00,135531.00,1.709B,27.38,
233,PLAB,"Photronics, Inc.",26.91,-0.5,-1.82%,476489.00,542952.00,1.705B,12.12,
234,PRFT,"Perficient, Inc.",47.24,-0.02,-0.04%,696782.00,297022.00,1.658B,17.12,
235,CNXN,"PC Connection, Inc.",61.96,-0.01,-0.02%,50527.00,65978.00,1.633B,19.67,
236,XRX,Xerox Holdings Corporation,13.06,-0.23,-1.73%,2.709M,2.474M,1.622B,N/A,
237,MXL,"MaxLinear, Inc.",19.00,-1.79,-8.61%,1.009M,815193.00,1.579B,N/A,
238,ACMR,"ACM Research, Inc.",24.92,-0.6,-2.35%,1.002M,1.749M,1.545B,21.48,
239,PRO,"PROS Holdings, Inc.",32.88,0.13,0.40%,159661.00,309498.00,1.544B,N/A,
240,TTMI,"TTM Technologies, Inc.",14.77,-0.16,-1.07%,1.097M,686180.00,1.503B,N/A,
241,STER,Sterling Check Corp.,15.16,0.03,0.20%,191169.00,709000.00,1.483B,N/A,
242,NATL,NCR Atleos Corporation,20.57,0.64,3.21%,597213.00,609936.00,1.483B,N/A,
243,EXTR,"Extreme Networks, Inc.",11.45,0.25,2.23%,4.899M,2.01M,1.474B,19.08,
244,CTS,CTS Corporation,47.42,1.67,3.65%,238470.00,142485.00,1.456B,24.7,
245,SHLS,"Shoals Technologies Group, Inc.",8.50,0.05,0.59%,3.476M,3.968M,1.449B,35.42,
246,ZUO,"Zuora, Inc.",9.91,0.05,0.51%,1.496M,1.733M,1.447B,N/A,
247,AVPT,"AvePoint, Inc.",7.85,0.08,1.03%,556368.00,818278.00,1.444B,N/A,
248,EVBG,"Everbridge, Inc.",34.78,0.03,0.09%,731483.00,1.359M,1.444B,N/A,
249,PAR,PAR Technology Corporation,42.20,-0.08,-0.19%,242455.00,238496.00,1.434B,N/A,
250,KN,Knowles Corporation,15.80,-0.03,-0.19%,554611.00,553983.00,1.418B,20,
251,VICR,Vicor Corporation,31.82,-0.56,-1.73%,216943.00,276052.00,1.417B,31.82,
252,NTCT,"NetScout Systems, Inc.",19.78,0.52,2.70%,385756.00,663778.00,1.405B,N/A,
253,COHU,"Cohu, Inc.",29.60,-0.72,-2.37%,322418.00,298244.00,1.394B,50.17,
254,VTEX,VTEX,7.41,-0.01,-0.13%,179861.00,473500.00,1.37B,N/A,
255,CSGS,"CSG Systems International, Inc.",45.82,-1.42,-3.01%,355677.00,260313.00,1.365B,20.83,
256,GCT,GigaCloud Technology Inc.,31.98,0.19,0.60%,1.802M,2.997M,1.305B,13.9,
257,MLNK,"MeridianLink, Inc.",16.92,0.24,1.44%,249997.00,263400.00,1.294B,N/A,
258,ICHR,"Ichor Holdings, Ltd.",37.65,-1.13,-2.91%,231724.00,327824.00,1.241B,N/A,
259,HLIT,Harmonic Inc.,11.09,0.35,3.26%,3.069M,1.903M,1.242B,18.18,
260,BASE,"Couchbase, Inc.",24.22,0.08,0.33%,510613.00,503118.00,1.216B,N/A,
261,AMPL,"Amplitude, Inc.",9.80,0.01,0.10%,241818.00,459357.00,1.193B,N/A,
262,MODN,"Model N, Inc.",29.70,0.05,0.17%,743822.00,706552.00,1.171B,N/A,
263,DBD,"Diebold Nixdorf, Incorporated",31.16,-0.5,-1.58%,165682.00,148677.00,1.171B,N/A,
264,CRSR,"Corsair Gaming, Inc.",11.26,0.16,1.44%,347222.00,345065.00,1.169B,375.33,
265,CRCT,"Cricut, Inc.",5.36,0.04,0.75%,405743.00,864057.00,1.162B,22.33,
266,PDFS,"PDF Solutions, Inc.",30.06,-0.02,-0.07%,130263.00,181400.00,1.154B,375.75,
267,ATEN,"A10 Networks, Inc.",15.37,2.31,17.69%,1.86M,730418.00,1.144B,25.2,
268,PUBM,"PubMatic, Inc.",22.78,0.34,1.52%,209764.00,513478.00,1.139B,142.38,
269,DGII,Digi International Inc.,30.72,0.06,0.20%,209024.00,156945.00,1.114B,71.44,
270,BHE,"Benchmark Electronics, Inc.",30.29,0.08,0.26%,274722.00,315522.00,1.092B,16.92,
271,ADEA,Adeia Inc.,9.80,-0.04,-0.41%,348925.00,535735.00,1.063B,16.33,
272,TASK,"TaskUs, Inc.",11.93,0.47,4.10%,158793.00,213957.00,1.063B,24.85,
273,CSIQ,Canadian Solar Inc.,16.35,0.14,0.86%,965948.00,1.466M,1.082B,4.22,
274,SCSC,"ScanSource, Inc.",41.47,-0.15,-0.36%,100828.00,222267.00,1.044B,12.13,
275,NN,NextNav Inc.,9.10,-0.01,-0.11%,640704.00,920044.00,1.024B,N/A,
276,GB,Global Blue Group Holding AG,5.08,-0.04,-0.78%,2151.00,31662.00,1.014B,50.8,
277,RPAY,Repay Holdings Corporation,10.16,-0.01,-0.10%,742046.00,665291.00,988.966M,N/A,
278,SGH,"SMART Global Holdings, Inc.",18.02,-0.25,-1.37%,713411.00,1.093M,933.978M,163.82,
279,INDI,"indie Semiconductor, Inc.",5.48,-0.14,-2.49%,1.824M,2.927M,913.505M,N/A,
280,RSKD,Riskified Ltd.,5.17,0.02,0.39%,463526.00,557131.00,902.641M,N/A,
281,KARO,Karooooo Ltd.,28.53,-0.53,-1.82%,1857.00,8214.00,883.035M,24.38,
282,PSFE,Paysafe Limited,14.17,-0.05,-0.35%,267827.00,413514.00,874.564M,N/A,
283,ENFN,"Enfusion, Inc.",9.51,0.2,2.15%,253972.00,422770.00,864.24M,135.86,
284,SNPO,Snap One Holdings Corp.,10.60,0.02,0.19%,369437.00,217465.00,811.277M,N/A,
285,WEAV,"Weave Communications, Inc.",10.93,0.24,2.25%,511336.00,402757.00,775.816M,N/A,
286,BELFB,Bel Fuse Inc.,58.49,-0.23,-0.39%,89408.00,136137.00,762.955M,10.41,
287,GDYN,"Grid Dynamics Holdings, Inc.",9.91,0.14,1.43%,304657.00,327131.00,758.325M,N/A,
288,IIIV,"i3 Verticals, Inc.",22.25,-0.46,-2.03%,261154.00,257280.00,742.54M,N/A,
289,ML,MoneyLion Inc.,67.30,0.99,1.49%,140858.00,169506.00,726.032M,N/A,
290,WKME,WalkMe Ltd.,7.74,-0.04,-0.51%,141474.00,87385.00,711.587M,N/A,
291,RDWR,Radware Ltd.,16.62,0.09,0.54%,91256.00,270911.00,694.498M,N/A,
292,PGY,Pagaya Technologies Ltd.,9.77,0.04,0.41%,882940.00,1.414M,688.59M,N/A,
293,YEXT,"Yext, Inc.",5.51,0.02,0.36%,411751.00,816839.00,694.199M,N/A,
294,IMXI,"International Money Express, Inc.",20.05,-0.18,-0.89%,172421.00,216847.00,656.732M,12.3,
295,SSYS,Stratasys Ltd.,9.69,-0.03,-0.31%,168946.00,391024.00,675.881M,N/A,
296,BTDR,Bitdeer Technologies Group,5.50,0.01,0.18%,617044.00,1.623M,649.599M,N/A,
297,WALD,Waldencast plc,5.05,0.18,3.70%,63596.00,77660.00,616.484M,N/A,
298,HCKT,"The Hackett Group, Inc.",21.89,0.2,0.92%,73663.00,93891.00,603.847M,17.65,
299,AOSL,Alpha and Omega Semiconductor Limited,21.07,-0.8,-3.66%,121812.00,131265.00,595.826M,N/A,
300,MLAB,"Mesa Laboratories, Inc.",110.18,4.1,3.87%,59603.00,42798.00,594.316M,648.12,
301,MITK,"Mitek Systems, Inc.",12.48,-0.15,-1.19%,453016.00,537368.00,583.947M,N/A,
302,SMWB,Similarweb Ltd.,7.26,-0.13,-1.76%,139717.00,203627.00,571.509M,N/A,
303,DAVE,Dave Inc.,44.97,1.17,2.67%,95584.00,115150.00,556.882M,N/A,
304,LASR,"nLIGHT, Inc.",11.36,-0.03,-0.26%,169569.00,179808.00,540.314M,N/A,
305,EB,"Eventbrite, Inc.",5.37,0.09,1.70%,1.239M,1.93M,534.247M,N/A,
306,SCWX,SecureWorks Corp.,6.08,-0.01,-0.16%,17929.00,32836.00,529.142M,N/A,
307,ITRN,Ituran Location and Control Ltd.,25.81,0.13,0.51%,20119.00,57767.00,513.454M,10.71,
308,DSP,Viant Technology Inc.,8.13,-0.66,-7.51%,516792.00,157265.00,511.602M,N/A,
309,BAND,Bandwidth Inc.,18.75,0.55,3.02%,353849.00,376319.00,505.851M,N/A,
310,ALNT,Allient Inc.,29.42,0.03,0.10%,50773.00,66865.00,487.995M,19.88,
311,DJCO,Daily Journal Corporation,353.60,18.4,5.49%,11101.00,10291.00,486.918M,30.04,
312,CGNT,Cognyte Software Ltd.,6.83,0.01,0.15%,230285.00,335875.00,485.091M,N/A,
313,SKYT,"SkyWater Technology, Inc.",10.09,-0.17,-1.66%,222589.00,448891.00,477.641M,N/A,
314,XPER,Xperi Inc.,10.48,-0.03,-0.29%,249739.00,416952.00,471.914M,N/A,
315,CEVA,"CEVA, Inc.",19.81,-0.46,-2.27%,85456.00,138308.00,467.15M,N/A,
316,DMRC,Digimarc Corporation,21.83,0.69,3.26%,160422.00,147409.00,466.579M,N/A,
317,LAW,"CS Disco, Inc.",7.62,0.07,0.93%,607434.00,275824.00,465.288M,N/A,
318,CLFD,"Clearfield, Inc.",30.94,0.82,2.72%,258124.00,189793.00,455.025M,38.2,
319,BIGC,"BigCommerce Holdings, Inc.",5.83,0.17,3.00%,555542.00,719993.00,447.723M,N/A,
320,VPG,"Vishay Precision Group, Inc.",33.38,0.38,1.15%,88915.00,52626.00,446.818M,17.76,
321,NTGR,"NETGEAR, Inc.",14.94,0.16,1.08%,245095.00,213693.00,434.249M,N/A,
322,CTLP,"Cantaloupe, Inc.",5.88,0.09,1.55%,201164.00,327962.00,428.046M,29.4,
323,LYTS,LSI Industries Inc.,14.72,0.12,0.82%,92101.00,93350.00,427.915M,16,
324,AVNW,"Aviat Networks, Inc.",33.97,0.52,1.55%,101761.00,112849.00,426.232M,26.96,
325,DAKT,"Daktronics, Inc.",9.62,0.17,1.80%,363914.00,492614.00,425.992M,8.29,
326,MEI,"Methode Electronics, Inc.",11.86,-0.33,-2.71%,263967.00,594949.00,419.731M,N/A,
327,OUST,"Ouster, Inc.",9.30,0.23,2.54%,822081.00,1.232M,419.066M,N/A,
328,OSPN,OneSpan Inc.,10.92,0.1,0.92%,174955.00,408116.00,413.27M,N/A,
329,NVEC,NVE Corporation,81.39,-0.01,-0.01%,14914.00,18613.00,393.39M,18.25,
330,CRNC,Cerence Inc.,9.29,0.18,1.98%,633689.00,538695.00,387.157M,N/A,
331,BLZE,"Backblaze, Inc.",9.32,0.01,0.11%,176446.00,428947.00,385.392M,N/A,
332,AAOI,"Applied Optoelectronics, Inc.",9.90,0.05,0.51%,1.595M,2.719M,383.422M,N/A,
333,UIS,Unisys Corporation,5.21,-0.22,-4.05%,433857.00,696818.00,359.554M,N/A,
334,FARO,"FARO Technologies, Inc.",18.89,0.14,0.75%,70135.00,212381.00,358.33M,N/A,
335,TTEC,"TTEC Holdings, Inc.",7.30,0.02,0.27%,282935.00,375147.00,346.377M,40.56,
336,AEHR,Aehr Test Systems,11.73,-0.25,-2.09%,881520.00,1.233M,339.169M,22.56,
337,AMSWA,"American Software, Inc.",10.05,-0.06,-0.59%,109036.00,204627.00,333.862M,32.42,
338,CLMB,"Climb Global Solutions, Inc.",66.04,1.58,2.45%,9096.00,9993.00,304.002M,24.28,
339,HEAR,Turtle Beach Corporation,14.30,0.2,1.42%,441236.00,365526.00,301.076M,N/A,
340,DOMO,"Domo, Inc.",7.57,0.04,0.53%,258841.00,422837.00,287.896M,N/A,
341,GILT,Gilat Satellite Networks Ltd.,5.02,0.07,1.41%,162424.00,179204.00,286.221M,12.24,
342,ONTF,"ON24, Inc.",6.84,0.25,3.79%,151847.00,217742.00,286.083M,N/A,
343,TRAK,"ReposiTrak, Inc.",15.58,-0.25,-1.58%,31256.00,83559.00,283.704M,N/A,
344,AIP,"Arteris, Inc.",6.25,-0.38,-5.73%,116685.00,148847.00,239.799M,N/A,
345,RDVT,"Red Violet, Inc.",17.01,0.23,1.37%,36989.00,47727.00,233.675M,17.72,
346,IBEX,IBEX Limited,13.28,0.18,1.37%,22808.00,70332.00,233.357M,8.57,
347,IMMR,Immersion Corporation,7.18,-0.09,-1.24%,298963.00,595283.00,227.611M,6.9,
348,CCSI,"Consensus Cloud Solutions, Inc.",11.79,0.15,1.29%,273692.00,412272.00,226.606M,2.99,
349,QUIK,QuickLogic Corporation,14.11,-1.35,-8.73%,446680.00,313444.00,202.864M,N/A,
350,OOMA,"Ooma, Inc.",7.51,0.45,6.37%,192730.00,93083.00,198.424M,N/A,
351,TCX,Tucows Inc.,18.05,0.38,2.15%,26937.00,40400.00,197.261M,N/A,
352,EGAN,eGain Corporation,6.24,0.03,0.48%,60140.00,102770.00,194.704M,29.71,
353,ASUR,"Asure Software, Inc.",7.46,0.07,0.95%,203612.00,212837.00,192.193M,N/A,
354,AEYE,"AudioEye, Inc.",15.48,-0.12,-0.77%,204282.00,142106.00,180.528M,N/A,
355,SSTI,"SoundThinking, Inc.",13.54,0.18,1.35%,79324.00,67485.00,173.133M,N/A,
356,INOD,Innodata Inc.,6.01,0.17,2.91%,178599.00,477718.00,172.805M,N/A,
357,VCSA,"Vacasa, Inc.",7.66,-0.13,-1.67%,38188.00,79252.00,171.762M,N/A,
358,MRAM,"Everspin Technologies, Inc.",7.49,0.07,0.94%,97659.00,101514.00,160.155M,17.83,
359,AISP,"Airship AI Holdings, Inc.",6.82,-0.54,-7.34%,476168.00,6.06M,157.945M,N/A,
360,FEBO,Fenbo Holdings Limited,14.02,0.34,2.49%,16136.00,16414.00,155.096M,N/A,
361,RELL,"Richardson Electronics, Ltd.",10.69,0.16,1.52%,112501.00,147054.00,152.636M,36.86,
362,UEIC,Universal Electronics Inc.,10.94,-0.35,-3.10%,28241.00,40008.00,141.161M,N/A,
363,ALOT,"AstroNova, Inc.",17.67,0.4,2.32%,6897.00,11790.00,136.821M,28.05,
364,INTT,inTEST Corporation,10.96,-0.31,-2.75%,106978.00,101652.00,136.863M,13.87,
365,VOXX,VOXX International Corporation,5.98,0.08,1.36%,58939.00,32188.00,135.136M,N/A,
366,CSPI,CSP Inc.,12.39,-0.68,-5.20%,186617.00,184313.00,120.851M,28.81,
367,INVE,"Identiv, Inc.",5.01,-0.03,-0.60%,102688.00,107159.00,116.888M,N/A,
368,SILC,Silicom Ltd.,15.90,0.41,2.65%,61685.00,29344.00,101.848M,N/A,
369,CCRD,CoreCard Corporation,12.10,0.12,1.00%,28294.00,40800.00,98.745M,30.25,
370,BEEM,Beam Global,6.50,0,0.00%,43648.00,104709.00,93.849M,N/A,
371,FEIM,"Frequency Electronics, Inc.",9.64,0.04,0.42%,6737.00,25611.00,91.458M,27.54,
372,BMR,Beamr Imaging Ltd.,5.54,0.02,0.36%,209984.00,6.187M,83.683M,N/A,
373,SWVL,Swvl Holdings Corp.,11.45,-2.25,-16.42%,148698.00,117824.00,77.764M,30.95,
374,DPSI,"DecisionPoint Systems, Inc.",10.02,1.97,24.46%,355827.00,16077.00,76.957M,31.31,
375,SSNT,"SilverSun Technologies, Inc.",14.21,-0.1,-0.70%,13716.00,69427.00,75.534M,N/A,
376,MPTI,"M-tron Industries, Inc.",26.85,-0.91,-3.28%,20694.00,60031.00,75.073M,20.98,
377,ELTK,Eltek Ltd.,10.80,-0.06,-0.55%,21340.00,127118.00,72.412M,10.09,
378,AUID,authID Inc.,7.58,-0.09,-1.17%,23677.00,27673.00,71.633M,N/A,
379,WFCF,"Where Food Comes From, Inc.",12.38,0.1,0.81%,2189.00,3229.00,67.897M,31.74,
380,SNCR,"Synchronoss Technologies, Inc.",6.45,0.14,2.22%,5018.00,108378.00,66.53M,N/A,
381,AXIL,"AXIL Brands, Inc.",11.25,0.19,1.72%,2431.00,4237.00,66.139M,N/A,
382,EGIO,"Edgio, Inc.",9.57,0.04,0.42%,39659.00,121752.00,56.036M,N/A,
383,KPLT,"Katapult Holdings, Inc.",13.56,0.43,3.24%,3054.00,11514.00,55.408M,N/A,
384,LINK,"Interlink Electronics, Inc.",5.58,0,0.00%,8452.00,7679.00,55.022M,N/A,
385,AIRG,"Airgain, Inc.",5.20,-0.04,-0.76%,7994.00,22567.00,55.977M,N/A,
386,GRRR,Gorilla Technology Group Inc.,6.01,0.23,3.98%,302298.00,626950.00,52.28M,2.22,
387,TACT,TransAct Technologies Incorporated,5.22,-0.13,-2.43%,14836.00,20534.00,52.173M,11.11,
388,EBON,Ebang International Holdings Inc.,8.10,0.64,8.58%,14965.00,39693.00,50.873M,N/A,
389,PHUN,"Phunware, Inc.",6.33,-0.27,-4.09%,279775.00,2.691M,50.811M,N/A,
390,BKTI,BK Technologies Corporation,14.06,0,-0.01%,15096.00,15181.00,49.544M,N/A,
391,ISDR,Issuer Direct Corporation,11.97,0.4,3.41%,3236.00,11663.00,45.668M,59.85,
392,BKKT,"Bakkt Holdings, Inc.",6.31,-0.4,-5.96%,996493.00,288372.00,38.937M,N/A,
393,DTST,Data Storage Corporation,5.13,0.29,5.99%,61172.00,162475.00,35.499M,102.6,
394,LGL,"The LGL Group, Inc.",5.70,0,0.00%,95.00,4996.00,30.626M,95,
395,INLX,"Intellinetics, Inc.",7.24,0.24,3.43%,7209.00,22167.00,29.783M,65.82,
396,TRT,Trio-Tech International,6.20,0,0.00%,3020.00,5809.00,25.851M,29.52,
397,DTSS,Datasea Inc.,8.12,-0.12,-1.46%,8366.00,2.103M,24.506M,N/A,
398,VHC,VirnetX Holding Corporation,5.25,-0.01,-0.19%,1932.00,11683.00,19.33M,N/A,
399,TSRI,"TSR, Inc.",7.64,-0.18,-2.24%,1418.00,2329.00,16.586M,8.69,
400,WISA,"WiSA Technologies, Inc.",5.18,-0.36,-6.50%,1.105M,6.145M,14.346M,N/A,
401,MIND,"MIND Technology, Inc.",5.93,-0.18,-3.03%,36900.00,5347.00,8.329M,N/A,
402,AILE,"iLearningEngines, Inc.",7.30,0.8,12.31%,24330.00,15416.00,985.281M,N/A,
403,CPAY,"Corpay, Inc.",296.25,-5.89,-1.95%,414775.00,472903.00,21.093B,N/A,
404,FAAS,DigiAsia Corp.,7.64,0.14,1.93%,25597.00,71827.00,463.977M,N/A,
405,ALAB,"Astera Labs, Inc.",74.83,-9.93,-11.72%,3.948M,3.477M,11.634B,N/A,
406,GCTS,"GCT Semiconductor Holding, Inc.",5.04,0.32,6.78%,239423.00,844342.00,231M,N/A,
407,SMXT,"SolarMax Technology, Inc.",10.34,0.54,5.51%,100022.00,288400.00,467.858M,N/A,
408,IBTA,"Ibotta, Inc.",99.50,-2.77,-2.71%,167187.00,367844.00,2.697B,N/A,
409,RBRK,"Rubrik, Inc.",32.84,0.82,2.56%,4.386M,7.15M,5.778B,N/A,
410,WISA,"WiSA Technologies, Inc.",5.18,-0.36,-6.50%,1.105M,6.145M,14.346M,N/A,
411,MIND,"MIND Technology, Inc.",5.93,-0.18,-3.03%,36900.00,5347.00,8.329M,N/A,
412,AILE,"iLearningEngines, Inc.",7.30,0.8,12.31%,24330.00,15416.00,985.281M,N/A,
413,CPAY,"Corpay, Inc.",296.25,-5.89,-1.95%,414775.00,472903.00,21.093B,N/A,
414,FAAS,DigiAsia Corp.,7.64,0.14,1.93%,25597.00,71827.00,463.977M,N/A,
415,ALAB,"Astera Labs, Inc.",74.83,-9.93,-11.72%,3.948M,3.477M,11.634B,N/A,
416,GCTS,"GCT Semiconductor Holding, Inc.",5.04,0.32,6.78%,239423.00,844342.00,231M,N/A,
417,SMXT,"SolarMax Technology, Inc.",10.34,0.54,5.51%,100022.00,288400.00,467.858M,N/A,
418,IBTA,"Ibotta, Inc.",99.50,-2.77,-2.71%,167187.00,367844.00,2.697B,N/A,
419,RBRK,"Rubrik, Inc.",32.84,0.82,2.56%,4.386M,7.15M,5.778B,N/A,
